date,property_id,property_name,unit_number,resident_id,resident_name,monthly_rent
2024-12-03,1,Sunset Gardens,P1-U01,,,0
2024-12-03,1,Sunset Gardens,P1-U02,,,0
2024-12-03,1,Sunset Gardens,P1-U03,,,0
2024-12-03,1,Sunset Gardens,P1-U04,14,Resident14 Last14,6603
2024-12-03,1,Sunset Gardens,P1-U05,5,Resident5 Last5,6208
2024-12-03,1,Sunset Gardens,P1-U06,,,0
2024-12-03,1,Sunset Gardens,P1-U07,,,0
2024-12-03,1,Sunset Gardens,P1-U08,,,0
2024-12-03,1,Sunset Gardens,P1-U09,,,0
2024-12-03,1,Sunset Gardens,P1-U10,8,Resident8 Last8,3777
2024-12-03,1,Sunset Gardens,P1-U11,,,0
2024-12-03,1,Sunset Gardens,P1-U12,4,Resident4 Last4,7274
2024-12-03,1,Sunset Gardens,P1-U13,,,0
2024-12-03,1,Sunset Gardens,P1-U14,35,Resident35 Last35,3138
2024-12-03,1,Sunset Gardens,P1-U15,,,0
2024-12-03,1,Sunset Gardens,P1-U16,,,0
2024-12-03,1,Sunset Gardens,P1-U17,10,Resident10 Last10,7089
2024-12-03,1,Sunset Gardens,P1-U18,,,0
2024-12-03,1,Sunset Gardens,P1-U19,22,Resident22 Last22,6539
2024-12-03,1,Sunset Gardens,P1-U20,3,Resident3 Last3,5593
2024-12-03,1,Sunset Gardens,P1-U21,28,Resident28 Last28,4757
2024-12-03,1,Sunset Gardens,P1-U22,12,Resident12 Last12,6144
2024-12-03,1,Sunset Gardens,P1-U23,29,Resident29 Last29,5838
2024-12-03,1,Sunset Gardens,P1-U24,2,Resident2 Last2,6264
2024-12-03,1,Sunset Gardens,P1-U25,18,Resident18 Last18,5458
2024-12-03,1,Sunset Gardens,P1-U26,,,0
2024-12-03,1,Sunset Gardens,P1-U27,,,0
2024-12-03,1,Sunset Gardens,P1-U28,,,0
2024-12-03,1,Sunset Gardens,P1-U29,27,Resident27 Last27,5675
2024-12-03,1,Sunset Gardens,P1-U30,9,Resident9 Last9,5640
2024-12-03,1,Sunset Gardens,P1-U31,,,0
2024-12-03,1,Sunset Gardens,P1-U32,,,0
2024-12-03,1,Sunset Gardens,P1-U33,33,Resident33 Last33,3460
2024-12-03,1,Sunset Gardens,P1-U34,,,0
2024-12-03,1,Sunset Gardens,P1-U35,,,0
2024-12-03,1,Sunset Gardens,P1-U36,19,Resident19 Last19,6893
2024-12-03,1,Sunset Gardens,P1-U37,,,0
2024-12-03,1,Sunset Gardens,P1-U38,,,0
2024-12-03,1,Sunset Gardens,P1-U39,,,0
2024-12-03,1,Sunset Gardens,P1-U40,15,Resident15 Last15,5695
2024-12-03,1,Sunset Gardens,P1-U41,,,0
2024-12-03,1,Sunset Gardens,P1-U42,25,Resident25 Last25,3039
2024-12-03,1,Sunset Gardens,P1-U43,30,Resident30 Last30,6475
2024-12-03,1,Sunset Gardens,P1-U44,21,Resident21 Last21,6453
2024-12-03,1,Sunset Gardens,P1-U45,,,0
2024-12-03,1,Sunset Gardens,P1-U46,6,Resident6 Last6,5872
2024-12-03,1,Sunset Gardens,P1-U47,31,Resident31 Last31,6912
2024-12-03,1,Sunset Gardens,P1-U48,37,Resident37 Last37,4997
2024-12-03,1,Sunset Gardens,P1-U49,24,Resident24 Last24,6094
2024-12-03,1,Sunset Gardens,P1-U50,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U01,56,Resident56 Last56,4298
2024-12-03,2,Meadowbrook Senior Living,P2-U02,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U03,63,Resident63 Last63,3746
2024-12-03,2,Meadowbrook Senior Living,P2-U04,79,Resident79 Last79,4102
2024-12-03,2,Meadowbrook Senior Living,P2-U05,39,Resident39 Last39,4888
2024-12-03,2,Meadowbrook Senior Living,P2-U06,67,Resident67 Last67,3332
2024-12-03,2,Meadowbrook Senior Living,P2-U07,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U08,64,Resident64 Last64,3732
2024-12-03,2,Meadowbrook Senior Living,P2-U09,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U10,44,Resident44 Last44,4217
2024-12-03,2,Meadowbrook Senior Living,P2-U11,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U12,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U13,72,Resident72 Last72,3672
2024-12-03,2,Meadowbrook Senior Living,P2-U14,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U15,65,Resident65 Last65,5224
2024-12-03,2,Meadowbrook Senior Living,P2-U16,73,Resident73 Last73,6071
2024-12-03,2,Meadowbrook Senior Living,P2-U17,51,Resident51 Last51,3897
2024-12-03,2,Meadowbrook Senior Living,P2-U18,61,Resident61 Last61,6915
2024-12-03,2,Meadowbrook Senior Living,P2-U19,47,Resident47 Last47,4321
2024-12-03,2,Meadowbrook Senior Living,P2-U20,46,Resident46 Last46,5143
2024-12-03,2,Meadowbrook Senior Living,P2-U21,58,Resident58 Last58,5066
2024-12-03,2,Meadowbrook Senior Living,P2-U22,75,Resident75 Last75,6034
2024-12-03,2,Meadowbrook Senior Living,P2-U23,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U24,57,Resident57 Last57,7232
2024-12-03,2,Meadowbrook Senior Living,P2-U25,48,Resident48 Last48,7416
2024-12-03,2,Meadowbrook Senior Living,P2-U26,76,Resident76 Last76,4221
2024-12-03,2,Meadowbrook Senior Living,P2-U27,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U28,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U29,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U30,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U31,50,Resident50 Last50,3714
2024-12-03,2,Meadowbrook Senior Living,P2-U32,66,Resident66 Last66,7034
2024-12-03,2,Meadowbrook Senior Living,P2-U33,42,Resident42 Last42,4040
2024-12-03,2,Meadowbrook Senior Living,P2-U34,38,Resident38 Last38,5996
2024-12-03,2,Meadowbrook Senior Living,P2-U35,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U36,41,Resident41 Last41,4196
2024-12-03,2,Meadowbrook Senior Living,P2-U37,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U38,40,Resident40 Last40,5610
2024-12-03,2,Meadowbrook Senior Living,P2-U39,55,Resident55 Last55,4238
2024-12-03,2,Meadowbrook Senior Living,P2-U40,60,Resident60 Last60,6648
2024-12-03,2,Meadowbrook Senior Living,P2-U41,74,Resident74 Last74,6227
2024-12-03,2,Meadowbrook Senior Living,P2-U42,77,Resident77 Last77,5547
2024-12-03,2,Meadowbrook Senior Living,P2-U43,,,0
